ID,Year_Birth,Marital_Status,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
5524,1957,Single,635,88,546,172,88,88
2174,1954,Single,11,1,6,2,1,6
4141,1965,Together,426,49,127,111,21,42
6182,1984,Together,11,4,20,10,3,5
5324,1981,Married,173,43,118,46,27,15
7446,1967,Together,520,42,98,0,42,14
965,1971,Divorced,235,65,164,50,49,27
6177,1985,Married,76,10,56,3,1,23
4855,1974,Together,14,0,24,3,3,2
5899,1950,Together,28,0,6,1,1,13
1994,1983,Married,5,5,6,0,2,1
387,1976,Married,6,16,11,11,1,16
2125,1959,Divorced,194,61,480,225,112,30
8180,1952,Divorced,233,2,53,3,5,14
2569,1987,Married,3,14,17,6,1,5
2114,1946,Single,1006,22,115,59,68,45
9736,1980,Married,53,5,19,2,13,4
4939,1946,Together,84,5,38,150,12,28
6565,1949,Married,1012,80,498,0,16,176
2278,1985,Single,4,17,19,30,24,39
9360,1982,Married,86,2,73,69,38,48
5376,1979,Married,1,1,1725,1,1,1
1993,1949,Married,867,0,86,0,0,19
4047,1954,Married,384,0,102,21,32,5
1409,1951,Together,270,3,27,39,6,99
7892,1969,Single,6,4,25,15,12,13
2404,1976,Married,173,4,30,3,6,41
5255,1986,Single,5,1,3,3,263,362
9422,1989,Married,36,2,42,20,21,10
1966,1965,Married,684,100,801,21,66,0
6864,1989,Divorced,8,4,10,2,2,4
3033,1963,Together,112,17,44,34,22,89
5710,1970,Together,110,0,5,2,0,3
7373,1952,Divorced,96,12,96,33,22,43
8755,1946,Married,482,34,471,119,68,22
10738,1951,Single,40,0,19,2,1,3
4339,1970,Married,702,17,151,0,8,35
10755,1976,Married,6,3,14,15,7,36
8595,1973,Widow,55,0,6,2,0,4
2968,1943,Divorced,437,8,206,160,49,42
8601,1980,Married,421,76,536,82,178,102
503,1985,Married,13,1,29,3,0,7
8430,1957,Together,9,0,6,3,1,3
7281,1959,Single,81,11,50,3,2,39
2139,1975,Married,3,1,10,3,2,12
1371,1976,Single,123,164,266,227,30,174
9909,1996,Married,3,18,14,15,22,50
7286,1968,Together,13,6,15,3,5,13
7244,1951,Single,48,5,48,6,10,7
6566,1954,Married,826,50,317,50,38,38
8614,1957,Widow,245,19,125,37,67,14
4114,1964,Married,650,37,780,27,167,32
1331,1977,Single,12,6,20,30,1,3
2225,1977,Divorced,510,120,550,156,40,241
9381,1978,Married,328,9,124,12,24,109
6260,1955,Together,984,51,432,180,120,190
10383,1966,Divorced,295,35,482,121,120,40
7437,1988,Single,13,0,8,2,1,5
8557,1982,Single,11,3,22,2,2,6
8375,1968,Married,447,0,28,0,0,43
6853,1982,Single,712,26,538,69,13,80
3076,1975,Together,452,18,102,16,18,6
1012,1952,Single,523,7,134,37,14,169
6518,1951,Widow,546,0,48,0,6,6
4137,1948,Together,398,40,367,119,122,30
8082,1971,Married,1,3,6,3,6,15
1386,1967,Together,10,0,1,0,0,0
9369,1979,Single,688,14,309,201,24,38
4477,1958,Together,247,49,159,7,82,109
1357,1970,Together,856,59,487,58,29,73
1402,1954,Married,496,36,460,189,60,12
10629,1973,Married,25,3,43,17,4,17
6312,1959,Married,258,107,291,84,37,86
8132,1975,Married,565,6,65,0,6,19
1050,1952,Married,14,10,13,4,15,9
5846,1977,Divorced,2,1,6,2,1,1
1859,1972,Married,721,111,925,97,18,18
7503,1976,Single,1032,105,779,137,105,51
10401,1976,Together,1,0,5,0,3,9
1618,1965,Together,577,0,64,0,0,51
3332,1985,Single,64,4,68,7,5,17
2261,1969,Married,4,1,5,2,0,4
5346,1973,Married,25,5,19,7,0,23
4119,1963,Together,112,17,44,34,22,89
535,1987,Divorced,163,23,424,27,65,76
5268,1960,Married,17,8,14,10,4,3
273,1970,Married,130,0,16,0,0,5
4452,1957,Single,292,6,37,0,3,34
8504,1973,Married,350,60,568,110,133,145
771,1967,Together,135,9,39,4,0,7
8996,1957,Married,230,42,192,49,37,53
9235,1957,Single,7,0,8,2,0,1
5798,1973,Together,445,37,359,98,28,18
11178,1972,Single,15,2,10,0,1,4
2230,1970,Married,27,2,14,0,0,0
7516,1983,Married,5,3,11,12,5,9
7247,1960,Widow,505,0,26,0,0,75
11100,1972,Divorced,51,2,7,0,1,2
4646,1951,Married,207,26,447,75,0,223
3037,1983,Married,135,46,92,65,61,11
1473,1960,Single,53,1,5,2,1,10
1016,1959,Single,41,1,6,2,0,5
4518,1979,Together,386,172,183,185,132,111
9370,1945,Married,562,81,276,80,40,81
8908,1959,Married,217,76,690,50,26,38
8373,1979,Together,1,3,6,10,0,9
7533,1964,Married,144,1,32,2,1,7
2683,1969,Married,295,106,271,75,98,65
3629,1978,Single,76,3,31,4,4,27
10991,1960,Married,454,194,106,31,22,43
5077,1979,Together,425,115,292,23,35,79
7431,1991,Single,1332,17,311,23,51,86
3267,1963,Together,527,0,21,0,0,60
999,1991,Single,490,44,125,29,20,22
9215,1980,Married,378,0,101,0,0,72
2286,1962,Single,64,1,21,0,1,27
1592,1970,Married,547,99,812,151,82,33
367,1978,Married,47,90,94,123,103,120
5234,1967,Together,12,5,25,0,9,30
9862,1969,Together,1,6,7,11,5,3
9805,1953,Together,320,48,133,39,72,48
6205,1967,Single,34,3,29,0,4,10
8442,1985,Married,9,0,7,3,4,7
7386,1976,Divorced,17,0,14,7,3,2
7215,1983,Single,722,27,102,44,72,168
1491,1965,Together,162,33,124,40,28,172
11071,1984,Single,450,133,951,173,0,216
3381,1953,Married,70,0,16,0,0,4
8268,1961,Married,352,0,27,10,0,15
11051,1956,Together,492,19,110,16,12,12
8026,1952,Married,120,58,73,65,89,58
433,1958,Alone,534,5,47,0,5,41
9597,1969,Married,236,106,189,23,41,130
1295,1963,Married,231,65,196,38,71,124
5290,1964,Married,220,0,33,3,0,23
1685,1967,Together,796,14,590,38,44,0
5342,1976,Divorced,0,1,3,10,6,9
9579,1959,Married,53,1,34,2,0,16
7660,1973,Alone,15,0,8,4,2,20
1461,1965,Divorced,17,1,12,3,1,4
821,1992,Single,962,61,921,52,61,20
11084,1976,Together,738,0,232,13,20,50
8690,1962,Married,399,28,756,36,40,126
2937,1974,Single,614,16,132,43,33,33
9701,1988,Together,32,34,41,73,16,116
9949,1976,Married,598,16,141,32,41,49
10837,1975,Married,2,1,18,20,11,16
3120,1981,Together,6,1,10,0,1,4
5885,1973,Married,73,3,90,12,1,32
4050,1966,Married,42,16,29,12,20,8
3830,1953,Married,295,21,78,39,13,13
7987,1969,Married,346,17,48,23,13,13
7798,1972,Together,233,20,57,8,20,91
92,1988,Alone,5,7,24,19,14,20
7055,1952,Together,888,0,57,0,0,76
10240,1949,Together,997,26,269,34,13,42
3025,1958,Single,212,6,69,4,12,3
9283,1978,Single,8,1,7,2,0,0
9970,1977,Together,42,11,57,10,28,14
2730,1955,Single,536,11,387,149,91,57
2795,1958,Single,5,0,3,0,0,5
9260,1945,Married,1349,16,249,43,16,33
8182,1984,Married,53,3,49,7,4,5
10095,1975,Divorced,1001,12,240,16,12,12
8475,1973,Married,20,2,1582,1,2,1
4370,1966,Together,18,1,32,6,3,28
10573,1953,Divorced,125,16,98,134,21,27
3712,1959,Divorced,212,5,33,7,0,2
6637,1988,Single,277,162,305,173,76,124
